"pl_name";"hostname";"sy_mnum";"cb_flag";"disc_year";"pl_orbsmax";"pl_rade";"st_teff";"st_rad";"sy_dist"
"Kepler-1256 b";"Kepler-1256";0;0;2016;0.10733;1.49;6129;1.36;891.192
"Kepler-1257 b";"Kepler-1257";0;0;2016;0.0376;1.52;5502;0.87;1105.95
"Kepler-1258 b";"Kepler-1258";0;0;2016;0.01824;0.86;5839;0.99;717.555
"Kepler-1259 b";"Kepler-1259";0;0;2016;0.0141;1.43;5053;0.77;805.562
"Kepler-126 b";"Kepler-126";0;0;2014;0.099;1.52;6239;1.36;237.401
"Kepler-126 c";"Kepler-126";0;0;2014;0.162;1.58;6239;1.36;237.401
"Kepler-126 d";"Kepler-126";0;0;2014;0.448;2.5;6239;1.36;237.401
"Kepler-1260 b";"Kepler-1260";0;0;2016;0.1444;1.77;5961;1.08;1734.43
"Kepler-1261 b";"Kepler-1261";0;0;2016;0.239;2.26;5006;0.77;744.294
"Kepler-1262 b";"Kepler-1262";0;0;2016;0.083;1.82;5771;0.98;1054.87
"Kepler-1263 b";"Kepler-1263";0;0;2016;0.0499;1.14;5213;0.8;664.83
"Kepler-1264 b";"Kepler-1264";0;0;2016;0.01839;1.18;5791;0.98;801.993
"Kepler-1265 b";"Kepler-1265";0;0;2016;0.0612;1.35;4630;0.69;583.641
"Kepler-1266 b";"Kepler-1266";0;0;2016;0.16431;2.58;5044;0.76;849.312
"Kepler-1266 c";"Kepler-1266";0;0;2021;0.0506;1.68;4996;0.83;849.312
"Kepler-1267 b";"Kepler-1267";0;0;2016;0.1057;3.01;6096;1.2;1379.43
"Kepler-1268 b";"Kepler-1268";0;0;2016;0.2383;2.03;5904;1.09;1840.77
"Kepler-1269 b";"Kepler-1269";0;0;2016;0.23611;1.63;5998;1.15;1097.23
"Kepler-127 b";"Kepler-127";0;0;2014;0.125;1.4;6106;1.36;352.794
"Kepler-127 c";"Kepler-127";0;0;2014;0.2;2.66;6106;1.36;352.794
"Kepler-127 d";"Kepler-127";0;0;2014;0.28;2.64;6106;1.36;352.794
"Kepler-1270 b";"Kepler-1270";0;0;2016;0.07045;3.32;5047;3.38;1095.05
"Kepler-1271 b";"Kepler-1271";0;0;2016;0.04233;1.48;6143;1.23;831.991
"Kepler-1272 b";"Kepler-1272";0;0;2016;0.2705;2.37;5926;1.09;1206.37
"Kepler-1273 b";"Kepler-1273";0;0;2016;0.1857;2.49;5566;0.91;1114.24
"Kepler-1274 b";"Kepler-1274";0;0;2016;0.08161;1.42;6179;2.17;614.648
"Kepler-1275 b";"Kepler-1275";0;0;2016;0.0488;1.48;6296;1.36;1153.98
"Kepler-1276 b";"Kepler-1276";0;0;2016;0.10863;1.19;6188;1.21;538.481
"Kepler-1277 b";"Kepler-1277";0;0;2016;0.21857;1.6;5578;0.92;557.193
"Kepler-1278 b";"Kepler-1278";0;0;2016;0.04417;1.01;6074;1.16;889.426
"Kepler-1279 b";"Kepler-1279";0;0;2016;0.1785;1.75;6221;1.33;1494.22
"Kepler-128 b";"Kepler-128";0;0;2013;0.12545;1.421;6072;1.66;396.379
"Kepler-128 c";"Kepler-128";0;0;2013;0.16517;1.521;6072;1.66;396.379
"Kepler-1280 b";"Kepler-1280";0;0;2016;0.33982;1.87;6227;1.32;1486.7
"Kepler-1281 b";"Kepler-1281";0;0;2016;0.0415;1.64;5353;0.83;1090.0
"Kepler-1282 b";"Kepler-1282";0;0;2016;0.0335;1.55;5504;0.89;1103.29
"Kepler-1283 b";"Kepler-1283";0;0;2016;0.1062;1.91;6175;1.25;2921.99
"Kepler-1284 b";"Kepler-1284";0;0;2016;0.0143;1.21;5123;0.79;882.324
"Kepler-1285 b";"Kepler-1285";0;0;2016;0.12758;0.97;6170;1.28;422.269
"Kepler-1286 b";"Kepler-1286";0;0;2016;0.0991;2.15;5753;0.98;1354.46
"Kepler-1287 b";"Kepler-1287";0;0;2016;0.0976;1.54;5715;0.94;1003.26
"Kepler-1288 b";"Kepler-1288";0;0;2016;0.04135;1.12;6132;1.29;814.078
"Kepler-1289 b";"Kepler-1289";0;0;2016;0.0785;1.52;6080;1.17;1053.57
"Kepler-129 b";"Kepler-129";0;0;2014;0.13;2.4;5770;1.65;408.845
"Kepler-129 c";"Kepler-129";0;0;2014;0.39;2.52;5770;1.65;408.845
"Kepler-129 d";"Kepler-129";0;0;2021;4.0;12.6;5770;1.65;408.845
"Kepler-1290 b";"Kepler-1290";0;0;2016;0.0557;1.42;5660;0.93;1593.7
"Kepler-1291 b";"Kepler-1291";0;0;2016;0.0779;1.66;5216;0.8;897.352
"Kepler-1292 b";"Kepler-1292";0;0;2016;0.0443;1.82;5556;0.93;1493.43
"Kepler-1293 b";"Kepler-1293";0;0;2016;0.06763;0.97;6241;1.28;1028.16
"Kepler-1294 b";"Kepler-1294";0;0;2016;0.4684;3.19;5776;0.97;1855.7
"Kepler-1295 b";"Kepler-1295";0;0;2016;0.0464;1.55;5486;0.89;1174.46
"Kepler-1296 b";"Kepler-1296";0;0;2016;0.0896;0.91;5359;0.83;1551.54
"Kepler-1297 b";"Kepler-1297";0;0;2016;0.0283;0.97;5818;0.99;1439.47
"Kepler-1298 b";"Kepler-1298";0;0;2016;0.0814;1.31;6339;2.0;544.163
"Kepler-1299 b";"Kepler-1299";0;0;2016;0.1357;2.98;5609;0.91;1404.94
"Kepler-130 b";"Kepler-130";0;0;2014;0.079;1.02;5884;1.13;316.663
"Kepler-130 c";"Kepler-130";0;0;2014;0.178;2.9;5879;1.17;316.663
"Kepler-130 d";"Kepler-130";0;0;2014;0.377;1.64;5884;1.13;316.663
"Kepler-1300 b";"Kepler-1300";0;0;2016;0.16005;1.37;6130;1.79;777.025
"Kepler-1301 b";"Kepler-1301";0;0;2016;0.0815;1.4;5188;0.81;854.28
"Kepler-1302 b";"Kepler-1302";0;0;2016;0.0795;1.43;5236;0.82;634.58
"Kepler-1303 b";"Kepler-1303";0;0;2016;0.0751;1.42;5771;1.0;897.783
"Kepler-1304 b";"Kepler-1304";0;0;2016;0.1202;2.29;5259;0.81;2176.08
"Kepler-1305 b";"Kepler-1305";0;0;2016;0.1109;1.88;5701;0.96;1575.23
"Kepler-1306 b";"Kepler-1306";0;0;2016;0.123;1.91;5727;0.97;1107.5
"Kepler-1307 b";"Kepler-1307";0;0;2016;0.1369;2.47;5884;1.08;1014.62
"Kepler-1308 b";"Kepler-1308";0;0;2016;0.025;0.52;3468;0.34;112.705
"Kepler-1309 b";"Kepler-1309";0;0;2016;0.1679;2.37;5235;0.8;845.0
"Kepler-131 b";"Kepler-131";0;0;2014;0.12789;2.41;5685;1.03;228.678
"Kepler-131 c";"Kepler-131";0;0;2014;0.17391;0.84;5685;1.03;228.678
"Kepler-1310 b";"Kepler-1310";0;0;2016;0.01452;1.44;5549;0.88;569.185
"Kepler-1311 b";"Kepler-1311";0;0;2016;0.10082;1.24;5748;1.4;866.331
"Kepler-1311 c";"Kepler-1311";0;0;2016;0.03753;1.22;5748;1.4;866.331
"Kepler-1311 d";"Kepler-1311";0;0;2021;0.68434;9.658;5616;1.67;866.331
"Kepler-1312 b";"Kepler-1312";0;0;2016;0.06053;2.1;5719;0.92;299.104
