"pl_name";"hostname";"sy_mnum";"cb_flag";"disc_year";"pl_orbsmax";"pl_rade";"st_teff";"st_rad";"sy_dist"
"Kepler-176 d";"Kepler-176";0;0;2014;0.163;2.51;5232;0.89;527.321
"Kepler-176 e";"Kepler-176";0;0;2016;0.25654;1.45;5295;0.83;527.321
"Kepler-1761 b";"Kepler-1761";0;0;2021;0.0413;1.391;3871;0.53;221.186
"Kepler-1762 b";"Kepler-1762";0;0;2021;0.204;2.76;6572;1.24;1663.74
"Kepler-1763 b";"Kepler-1763";0;0;2021;0.0257;1.147;5897;1.26;756.486
"Kepler-1764 b";"Kepler-1764";0;0;2021;0.3512;4.555;6461;1.13;1542.48
"Kepler-1765 b";"Kepler-1765";0;0;2021;0.0917;2.495;5692;1.06;764.456
"Kepler-1766 b";"Kepler-1766";0;0;2021;0.4161;2.279;5868;1.04;501.229
"Kepler-1767 b";"Kepler-1767";0;0;2021;0.2873;3.013;5243;0.83;820.506
"Kepler-1768 b";"Kepler-1768";0;0;2021;0.1286;2.233;6050;1.57;632.766
"Kepler-1769 b";"Kepler-1769";0;0;2021;0.40598;4.465;6071;1.3;438.412
"Kepler-177 b";"Kepler-177";0;0;2013;0.21101;3.5;5732;1.32;1435.44
"Kepler-177 c";"Kepler-177";0;0;2013;0.25655;8.73;5732;1.32;1435.44
"Kepler-1770 b";"Kepler-1770";0;0;2021;0.1261;2.841;5602;1.01;582.942
"Kepler-1771 b";"Kepler-1771";0;0;2021;0.3815;4.055;5661;0.93;565.752
"Kepler-1772 b";"Kepler-1772";0;0;2021;0.04391;2.686;5541;0.93;871.564
"Kepler-1773 b";"Kepler-1773";0;0;2021;0.24831;3.505;6183;1.3;681.255
"Kepler-1774 b";"Kepler-1774";0;0;2021;0.29496;3.182;6214;1.12;816.592
"Kepler-1775 b";"Kepler-1775";0;0;2021;0.39565;3.648;5818;1.65;657.023
"Kepler-1776 b";"Kepler-1776";0;0;2021;0.2093;2.612;5872;1.15;690.336
"Kepler-1777 b";"Kepler-1777";0;0;2021;0.10301;2.132;5771;1.07;619.146
"Kepler-1778 b";"Kepler-1778";0;0;2021;0.0956;3.017;6310;1.09;1276.29
"Kepler-1779 b";"Kepler-1779";0;0;2021;0.1264;3.033;5730;1.06;908.501
"Kepler-178 b";"Kepler-178";0;0;2014;0.085;2.9;5676;1.07;716.025
"Kepler-178 c";"Kepler-178";0;0;2014;0.142;2.88;5676;1.07;716.025
"Kepler-178 d";"Kepler-178";0;0;2014;0.397;3.95;5676;1.07;716.025
"Kepler-1780 b";"Kepler-1780";0;0;2021;0.4276;3.606;5403;0.87;790.516
"Kepler-1781 b";"Kepler-1781";0;0;2021;0.0574;2.381;5568;0.96;962.63
"Kepler-1782 b";"Kepler-1782";0;0;2021;0.05825;2.229;4931;0.73;305.792
"Kepler-1783 b";"Kepler-1783";0;0;2021;0.07595;1.319;5129;1.78;264.078
"Kepler-1784 b";"Kepler-1784";0;0;2021;0.1072;2.799;5442;0.97;883.045
"Kepler-1785 b";"Kepler-1785";0;0;2021;0.13917;2.704;5618;1.0;745.74
"Kepler-1786 b";"Kepler-1786";0;0;2021;0.35722;3.163;5808;1.4;863.909
"Kepler-1787 b";"Kepler-1787";0;0;2021;0.227;2.319;6060;0.93;778.602
"Kepler-1788 b";"Kepler-1788";0;0;2021;0.0343;2.379;4786;0.7;560.445
"Kepler-1789 b";"Kepler-1789";0;0;2021;0.3543;2.831;5436;0.89;611.461
"Kepler-179 b";"Kepler-179";0;0;2014;0.036;1.64;5302;0.76;605.68
"Kepler-179 c";"Kepler-179";0;0;2014;0.064;2.0;5302;0.76;605.68
"Kepler-1790 b";"Kepler-1790";0;0;2021;0.20989;3.145;5866;1.37;1070.17
"Kepler-1791 b";"Kepler-1791";0;0;2021;0.0761;3.121;5887;1.18;602.218
"Kepler-1792 b";"Kepler-1792";0;0;2021;0.0488;2.52;5229;1.01;601.029
"Kepler-1793 b";"Kepler-1793";0;0;2021;0.0787;3.79;5191;0.76;1189.88
"Kepler-1794 b";"Kepler-1794";0;0;2021;0.0821;1.794;5052;0.82;561.229
"Kepler-1796 b";"Kepler-1796";0;0;2021;0.1879;2.75;6036;0.95;825.883
"Kepler-1797 b";"Kepler-1797";0;0;2021;0.1637;3.058;6244;1.01;1338.49
"Kepler-1798 b";"Kepler-1798";0;0;2021;0.1082;2.309;3967;0.59;395.196
"Kepler-1799 b";"Kepler-1799";0;0;2021;0.1028;4.128;5831;0.92;2254.69
"Kepler-18 b";"Kepler-18";0;0;2011;0.0447;2.0;5345;1.11;433.047
"Kepler-18 c";"Kepler-18";0;0;2011;0.0752;5.49;5345;1.11;433.047
"Kepler-18 d";"Kepler-18";0;0;2011;0.1172;6.98;5345;1.11;433.047
"Kepler-180 b";"Kepler-180";0;0;2014;0.109;1.5;5731;1.06;695.65
"Kepler-180 c";"Kepler-180";0;0;2014;0.229;3.01;5731;1.06;695.65
"Kepler-1800 b";"Kepler-1800";0;0;2021;0.05098;0.997;5343;2.51;350.455
"Kepler-1801 b";"Kepler-1801";0;0;2021;0.0915;2.709;5738;0.98;839.332
"Kepler-1801 c";"Kepler-1801";0;0;2023;0.4572;2.91;5738;0.98;839.332
"Kepler-1802 b";"Kepler-1802";0;0;2021;0.0662;1.671;4245;0.64;636.694
"Kepler-1802 c";"Kepler-1802";0;0;2021;0.1748;2.322;4245;0.64;636.694
"Kepler-1804 b";"Kepler-1804";0;0;2021;0.1017;1.596;5109;1.67;434.456
"Kepler-1805 b";"Kepler-1805";0;0;2021;0.0699;1.545;3867;0.55;221.639
"Kepler-1806 b";"Kepler-1806";0;0;2021;0.0813;2.356;5311;0.79;978.066
"Kepler-1807 b";"Kepler-1807";0;0;2021;0.0988;2.704;6455;1.5;1299.32
"Kepler-1808 b";"Kepler-1808";0;0;2021;0.1467;3.025;5530;0.89;1022.01
"Kepler-1809 b";"Kepler-1809";0;0;2021;0.04444;1.513;4901;0.72;409.602
"Kepler-181 b";"Kepler-181";0;0;2014;0.04;1.27;5333;0.75;609.283
"Kepler-181 c";"Kepler-181";0;0;2014;0.049;1.99;5333;0.75;609.283
"Kepler-1810 b";"Kepler-1810";0;0;2021;0.4137;3.918;5492;1.02;1009.87
"Kepler-1811 b";"Kepler-1811";0;0;2021;0.3462;3.848;5561;1.19;1390.56
"Kepler-1812 b";"Kepler-1812";0;0;2021;0.0765;2.325;6174;1.1;1409.19
"Kepler-1814 b";"Kepler-1814";0;0;2021;0.03765;2.37;4922;0.82;726.346
"Kepler-1814 c";"Kepler-1814";0;0;2023;0.0133;1.76;4922;0.82;726.346
"Kepler-1815 b";"Kepler-1815";0;0;2021;0.0984;2.749;5516;0.97;1006.63
"Kepler-1816 b";"Kepler-1816";0;0;2021;0.35647;1.968;5051;0.71;437.823
"Kepler-1817 b";"Kepler-1817";0;0;2021;0.2348;2.273;5316;0.92;748.569
"Kepler-1818 b";"Kepler-1818";0;0;2021;0.055;1.714;6047;1.13;1034.59
"Kepler-1819 b";"Kepler-1819";0;0;2021;0.1337;3.904;6090;1.07;1363.19
"Kepler-182 b";"Kepler-182";0;0;2014;0.096;2.58;6250;1.15;1549.09
"Kepler-182 c";"Kepler-182";0;0;2014;0.157;3.43;6250;1.15;1549.09
"Kepler-1820 b";"Kepler-1820";0;0;2021;0.1964;3.119;5841;0.93;1425.39
"Kepler-1821 b";"Kepler-1821";0;0;2021;0.1244;2.592;5475;0.88;799.699
"Kepler-1822 b";"Kepler-1822";0;0;2021;0.1416;2.648;5165;0.7;897.597
"Kepler-1823 b";"Kepler-1823";0;0;2021;0.15332;2.086;6000;1.13;724.971
"Kepler-1824 b";"Kepler-1824";0;0;2021;0.4267;2.381;6002;1.08;1040.1
"Kepler-1825 b";"Kepler-1825";0;0;2021;0.0187;1.422;5123;0.85;430.254
"Kepler-1826 b";"Kepler-1826";0;0;2021;0.0213;1.475;3821;0.49;336.952
"Kepler-1827 b";"Kepler-1827";0;0;2021;0.04647;1.856;5423;1.4;686.461
"Kepler-1828 b";"Kepler-1828";0;0;2021;0.0924;2.116;5806;0.9;871.81
"Kepler-1829 b";"Kepler-1829";0;0;2021;0.0559;2.479;5230;0.78;679.921
"Kepler-183 b";"Kepler-183";0;0;2014;0.064;2.06;5888;0.96;1050.64
"Kepler-183 c";"Kepler-183";0;0;2014;0.103;2.27;5888;0.96;1050.64
"Kepler-1830 b";"Kepler-1830";0;0;2021;0.31769;3.33;6160;2.05;1056.88
"Kepler-1831 b";"Kepler-1831";0;0;2021;0.0655;1.97;6063;1.01;1053.49
"Kepler-1832 b";"Kepler-1832";0;0;2021;0.037;1.227;5242;0.72;486.174
"Kepler-1833 b";"Kepler-1833";0;0;2021;0.07545;1.3;6164;1.45;591.602
"Kepler-1834 b";"Kepler-1834";0;0;2021;0.04911;1.459;4821;0.79;500.395
"Kepler-1834 c";"Kepler-1834";0;0;2023;0.015;1.22;4821;0.79;500.395
"Kepler-1835 b";"Kepler-1835";0;0;2021;0.0997;3.534;5903;0.96;1404.38
"Kepler-1836 b";"Kepler-1836";0;0;2021;0.0602;2.553;6123;0.99;1472.62
"Kepler-1837 b";"Kepler-1837";0;0;2021;0.065;2.067;5966;0.96;1229.18
"Kepler-1838 b";"Kepler-1838";0;0;2021;0.11082;1.66;5877;1.96;451.242
"Kepler-1839 b";"Kepler-1839";0;0;2021;0.0583;1.949;5926;0.94;1136.6
"Kepler-184 b";"Kepler-184";0;0;2014;0.092;2.36;5788;0.87;610.326
"Kepler-184 c";"Kepler-184";0;0;2014;0.141;1.97;5788;0.87;610.326
"Kepler-184 d";"Kepler-184";0;0;2014;0.179;2.49;5788;0.87;610.326
"Kepler-1840 b";"Kepler-1840";0;0;2021;0.46206;2.778;4898;0.8;513.107
"Kepler-1841 b";"Kepler-1841";0;0;2021;0.1606;1.489;5190;0.9;631.7
"Kepler-1842 b";"Kepler-1842";0;0;2021;0.116;2.354;5970;1.13;923.551
"Kepler-1843 b";"Kepler-1843";0;0;2021;0.17871;2.709;5422;1.78;784.625
"Kepler-1844 b";"Kepler-1844";0;0;2021;0.0478;3.036;5776;0.85;1804.36
"Kepler-1845 b";"Kepler-1845";0;0;2021;0.0885;2.438;4703;0.7;710.724
"Kepler-1846 b";"Kepler-1846";0;0;2021;0.11054;1.764;4825;0.73;374.615
"Kepler-1847 b";"Kepler-1847";0;0;2021;0.0989;2.745;6122;0.96;1693.86
"Kepler-1848 b";"Kepler-1848";0;0;2021;0.05835;1.409;4847;0.74;309.696
"Kepler-1849 b";"Kepler-1849";0;0;2021;0.2597;2.387;4806;0.73;631.884
"Kepler-185 b";"Kepler-185";0;0;2014;0.026;1.17;5208;0.81;466.735
"Kepler-185 c";"Kepler-185";0;0;2014;0.139;2.02;5208;0.81;466.735
"Kepler-1850 b";"Kepler-1850";0;0;2021;0.0206;0.729;4239;0.6;250.199
"Kepler-1851 b";"Kepler-1851";0;0;2021;0.1016;3.9;5982;0.88;1589.81
"Kepler-1852 b";"Kepler-1852";0;0;2021;0.0762;1.886;5237;0.83;772.481
"Kepler-1853 b";"Kepler-1853";0;0;2021;0.2395;1.519;4821;0.79;562.348
"Kepler-1854 b";"Kepler-1854";0;0;2021;0.20894;2.587;5026;0.76;423.348
"Kepler-1856 b";"Kepler-1856";0;0;2021;0.0215;1.734;4948;0.82;848.76
"Kepler-1857 b";"Kepler-1857";0;0;2021;0.08308;1.961;6074;1.01;853.275
"Kepler-1858 b";"Kepler-1858";0;0;2021;0.3575;2.422;4939;0.82;833.055
"Kepler-1859 b";"Kepler-1859";0;0;2021;0.0394;1.583;5887;1.24;1331.25
"Kepler-1859 c";"Kepler-1859";0;0;2023;0.0473;1.66;5887;1.24;1331.25
"Kepler-186 b";"Kepler-186";0;0;2014;0.0343;1.07;3788;0.47;177.594
"Kepler-186 c";"Kepler-186";0;0;2014;0.0451;1.25;3788;0.47;177.594
"Kepler-186 d";"Kepler-186";0;0;2014;0.0781;1.4;3788;0.47;177.594
"Kepler-186 e";"Kepler-186";0;0;2014;0.11;1.27;3788;0.47;177.594
"Kepler-186 f";"Kepler-186";0;0;2014;0.432;1.17;3755;0.52;177.594
"Kepler-1860 b";"Kepler-1860";0;0;2021;0.10625;1.139;5420;0.87;438.703
"Kepler-1861 b";"Kepler-1861";0;0;2021;0.24082;2.207;5855;1.37;829.985
"Kepler-1862 b";"Kepler-1862";0;0;2021;0.1199;2.203;5644;0.81;1232.19
"Kepler-1863 b";"Kepler-1863";0;0;2021;0.23678;2.263;5871;0.98;865.546
"Kepler-1864 b";"Kepler-1864";0;0;2021;0.049;0.754;5854;0.98;298.894
"Kepler-1865 b";"Kepler-1865";0;0;2021;0.0344;1.577;5420;0.87;922.255
"Kepler-1866 b";"Kepler-1866";0;0;2021;0.1016;2.082;5791;1.08;976.737
"Kepler-1867 b";"Kepler-1867";0;0;2021;0.0872;1.16;5693;0.82;680.583
"Kepler-1868 b";"Kepler-1868";0;0;2021;0.62348;3.15;4658;0.69;274.18
"Kepler-1869 b";"Kepler-1869";0;0;2021;0.07976;1.12;5808;0.9;113.025
"Kepler-1869 c";"Kepler-1869";0;0;2023;0.028;0.74;5808;0.9;113.025
"Kepler-187 b";"Kepler-187";0;0;2014;0.059;1.41;6105;1.29;1143.0
"Kepler-187 c";"Kepler-187";0;0;2014;0.099;2.67;6105;1.29;1143.0
"Kepler-1870 b";"Kepler-1870";0;0;2021;0.0452;2.101;5508;0.84;407.216
"Kepler-1871 b";"Kepler-1871";0;0;2021;0.0308;2.422;5741;0.95;854.623
"Kepler-1872 b";"Kepler-1872";0;0;2021;0.0465;2.384;5223;0.89;840.182
"Kepler-1873 b";"Kepler-1873";0;0;2021;0.0128;1.626;5151;0.79;820.957
"Kepler-1874 b";"Kepler-1874";0;0;2021;0.2633;2.211;4701;0.78;408.007
"Kepler-1875 b";"Kepler-1875";0;0;2021;0.2039;3.227;6161;0.86;1660.45
"Kepler-1876 b";"Kepler-1876";0;0;2021;0.0758;0.853;6104;1.48;259.935
"Kepler-1877 b";"Kepler-1877";0;0;2021;0.03472;0.624;5615;0.94;285.312
"Kepler-1878 b";"Kepler-1878";0;0;2021;0.0521;2.92;5918;0.86;1494.3
"Kepler-1879 b";"Kepler-1879";0;0;2021;0.0957;2.065;5865;1.39;627.171
"Kepler-188 b";"Kepler-188";0;0;2014;0.032;1.68;6021;1.14;968.544
"Kepler-188 c";"Kepler-188";0;0;2014;0.066;3.19;6021;1.14;968.544
"Kepler-1880 b";"Kepler-1880";0;0;2021;0.054;2.117;4380;0.53;611.041
"Kepler-1881 b";"Kepler-1881";0;0;2021;0.53325;2.981;5135;0.87;1057.21
"Kepler-1882 b";"Kepler-1882";0;0;2021;0.11636;1.487;5691;1.46;443.371
"Kepler-1883 b";"Kepler-1883";0;0;2021;0.4438;3.251;6208;1.02;1377.61
"Kepler-1884 b";"Kepler-1884";0;0;2021;0.0845;1.814;5984;0.91;1443.09
"Kepler-1885 b";"Kepler-1885";0;0;2021;0.036;1.511;5591;0.86;818.482
"Kepler-1886 b";"Kepler-1886";0;0;2021;0.16;2.582;5745;0.84;1059.51
"Kepler-1887 b";"Kepler-1887";0;0;2021;0.1421;2.925;5749;0.86;1366.18
"Kepler-1888 b";"Kepler-1888";0;0;2021;0.0956;1.326;5557;1.25;402.947
"Kepler-1889 b";"Kepler-1889";0;0;2021;0.2082;2.944;5646;0.82;1395.13
"Kepler-189 b";"Kepler-189";0;0;2014;0.088;1.21;5235;0.75;591.534
"Kepler-189 c";"Kepler-189";0;0;2014;0.137;2.38;5235;0.75;591.534
"Kepler-1890 b";"Kepler-1890";0;0;2021;0.05712;0.869;6046;1.4;529.596
"Kepler-1891 b";"Kepler-1891";0;0;2021;0.0473;1.521;5516;0.83;596.24
"Kepler-1892 b";"Kepler-1892";0;0;2021;0.0633;1.837;5383;0.76;851.595
"Kepler-1893 b";"Kepler-1893";0;0;2021;0.0504;1.706;5633;1.16;1050.72
"Kepler-1894 b";"Kepler-1894";0;0;2021;0.0385;1.201;5772;0.9;935.191
"Kepler-1894 c";"Kepler-1894";0;0;2023;0.0576;1.21;5772;0.9;935.191
"Kepler-1895 b";"Kepler-1895";0;0;2021;0.0615;2.119;5076;0.76;984.187
"Kepler-1896 b";"Kepler-1896";0;0;2021;0.2529;3.099;6122;1.0;1732.91
"Kepler-1897 b";"Kepler-1897";0;0;2021;0.1546;2.814;5165;0.76;983.174
"Kepler-1898 b";"Kepler-1898";0;0;2021;0.05063;0.934;5702;1.12;360.921
"Kepler-1899 b";"Kepler-1899";0;0;2021;0.0457;1.551;4791;0.74;711.509
"Kepler-19 b";"Kepler-19";0;0;2011;0.0846;2.209;5541;0.86;218.562
"Kepler-19 c";"Kepler-19";0;0;2011;0.176574;3.68;5544;0.86;218.562
"Kepler-190 b";"Kepler-190";0;0;2014;0.03;1.56;5106;0.8;433.387
"Kepler-190 c";"Kepler-190";0;0;2014;0.045;1.46;5106;0.8;433.387
"Kepler-1900 b";"Kepler-1900";0;0;2021;0.042;1.623;6173;1.04;1540.43
"Kepler-1901 b";"Kepler-1901";0;0;2021;0.0453;1.474;5696;0.92;1028.37
"Kepler-1902 b";"Kepler-1902";0;0;2021;0.0385;1.176;3729;0.51;344.337
"Kepler-1903 b";"Kepler-1903";0;0;2021;0.1321;2.286;6347;1.0;1775.44
"Kepler-1904 b";"Kepler-1904";0;0;2021;0.0436;1.39;3805;0.5;270.854
"Kepler-1905 b";"Kepler-1905";0;0;2021;0.0451;1.446;5788;1.02;1051.53
"Kepler-1906 b";"Kepler-1906";0;0;2021;0.0738;2.776;5868;0.89;1360.63
"Kepler-1907 b";"Kepler-1907";0;0;2021;0.05444;0.87;5159;0.8;292.111
"Kepler-1907 c";"Kepler-1907";0;0;2021;0.10371;1.155;5159;0.8;292.111
"Kepler-1909 b";"Kepler-1909";0;0;2021;0.0306;1.092;4935;0.69;763.662
"Kepler-191 b";"Kepler-191";0;0;2014;0.087;1.34;5282;0.79;594.464
"Kepler-191 c";"Kepler-191";0;0;2014;0.128;1.86;5282;0.79;594.464
"Kepler-191 d";"Kepler-191";0;0;2016;0.06104;2.28;5215;0.8;594.464
"Kepler-1911 b";"Kepler-1911";0;0;2021;0.0636;1.011;5721;0.97;269.912
"Kepler-1912 b";"Kepler-1912";0;0;2021;0.06489;1.357;5734;0.96;297.017
"Kepler-1913 b";"Kepler-1913";0;0;2021;0.1209;1.519;6214;1.08;876.3
"Kepler-1914 b";"Kepler-1914";0;0;2021;0.1954;2.943;5982;0.96;1621.56
"Kepler-1915 b";"Kepler-1915";0;0;2021;0.114;3.218;6020;1.06;1514.66
"Kepler-1916 b";"Kepler-1916";0;0;2021;0.2053;2.618;6246;1.09;2055.82
"Kepler-1917 b";"Kepler-1917";0;0;2021;0.103;1.89;5530;0.79;909.037
"Kepler-1918 b";"Kepler-1918";0;0;2021;0.2524;2.298;5889;0.92;1030.11
"Kepler-1919 b";"Kepler-1919";0;0;2021;0.2107;2.624;5513;0.82;1177.53
"Kepler-192 b";"Kepler-192";0;0;2014;0.09;2.74;5479;1.01;651.674
"Kepler-192 c";"Kepler-192";0;0;2014;0.15;2.79;5479;1.01;651.674
"Kepler-192 d";"Kepler-192";0;0;2016;0.0686;1.02;5487;0.94;651.674
"Kepler-1920 b";"Kepler-1920";0;0;2021;0.2043;2.954;6277;1.16;885.913
"Kepler-1921 b";"Kepler-1921";0;0;2021;0.15865;2.895;6120;2.0;928.989
"Kepler-1921 c";"Kepler-1921";0;0;2023;0.0454;1.41;6120;2.0;928.989
"Kepler-1922 b";"Kepler-1922";0;0;2021;0.1077;2.291;5931;0.86;1344.29
"Kepler-1923 b";"Kepler-1923";0;0;2021;0.2846;1.96;5881;1.29;990.838
"Kepler-1924 b";"Kepler-1924";0;0;2021;0.1216;2.654;5726;1.29;1910.77
"Kepler-1925 b";"Kepler-1925";0;0;2021;0.2588;3.002;5856;1.09;1771.31
"Kepler-1926 b";"Kepler-1926";0;0;2021;0.2197;2.315;5256;0.83;667.405
"Kepler-1927 b";"Kepler-1927";0;0;2021;0.38733;3.406;6056;2.48;1091.0
"Kepler-1928 b";"Kepler-1928";0;0;2021;0.194;1.992;5720;0.92;326.362
"Kepler-1929 b";"Kepler-1929";0;0;2021;0.30883;3.073;5786;1.47;508.201
"Kepler-193 b";"Kepler-193";0;0;2014;0.106;2.39;6335;1.15;1009.1
"Kepler-193 c";"Kepler-193";0;0;2014;0.286;2.75;6335;1.15;1009.1
"Kepler-1930 b";"Kepler-1930";0;0;2021;0.10233;1.53;5083;0.84;275.694
"Kepler-1931 b";"Kepler-1931";0;0;2021;0.23329;2.653;6167;1.22;620.091
"Kepler-1932 b";"Kepler-1932";0;0;2021;0.0123;1.515;5278;0.82;713.733
"Kepler-1933 b";"Kepler-1933";0;0;2021;0.05605;1.18;5661;1.01;328.007
"Kepler-1934 b";"Kepler-1934";0;0;2021;0.02466;0.913;5925;1.04;428.514
"Kepler-1935 b";"Kepler-1935";0;0;2021;0.0463;2.503;5570;0.9;904.702
"Kepler-1936 b";"Kepler-1936";0;0;2021;0.52662;3.166;6501;1.85;871.096
"Kepler-1937 b";"Kepler-1937";0;0;2021;0.0915;3.023;6457;1.2;905.069
"Kepler-1938 b";"Kepler-1938";0;0;2021;0.0938;1.828;4522;0.66;421.152
"Kepler-1939 b";"Kepler-1939";0;0;2021;0.0334;1.165;4353;0.6;189.833
"Kepler-194 b";"Kepler-194";0;0;2014;0.032;1.51;6089;1.03;1097.97
"Kepler-194 c";"Kepler-194";0;0;2014;0.131;2.59;6089;1.03;1097.97
"Kepler-194 d";"Kepler-194";0;0;2014;0.275;2.4;6089;1.03;1097.97
"Kepler-1940 b";"Kepler-1940";0;0;2021;0.0525;1.547;5431;0.72;798.595
"Kepler-1941 b";"Kepler-1941";0;0;2021;0.2054;2.65;6404;1.14;1494.39
"Kepler-1942 b";"Kepler-1942";0;0;2021;0.0516;2.117;5834;0.8;842.492
"Kepler-1943 b";"Kepler-1943";0;0;2021;0.05975;1.549;6032;0.97;1004.55
"Kepler-1944 b";"Kepler-1944";0;0;2021;0.0918;2.76;5585;0.97;1076.48
"Kepler-1946 b";"Kepler-1946";0;0;2021;0.0394;2.488;5505;0.87;1002.12
"Kepler-1947 b";"Kepler-1947";0;0;2021;0.07375;1.01;6040;1.69;468.771
"Kepler-1948 b";"Kepler-1948";0;0;2021;0.1022;1.033;3872;0.56;193.903
"Kepler-1949 b";"Kepler-1949";0;0;2021;0.0352;2.22;6028;1.45;2617.35
"Kepler-195 b";"Kepler-195";0;0;2014;0.077;2.03;5329;0.78;652.051
"Kepler-195 c";"Kepler-195";0;0;2014;0.197;1.55;5329;0.78;652.051
"Kepler-1950 b";"Kepler-1950";0;0;2021;0.0871;1.527;5455;0.85;697.253
"Kepler-1951 b";"Kepler-1951";0;0;2021;0.1435;2.321;5468;1.31;1277.32
"Kepler-1952 b";"Kepler-1952";0;0;2021;0.1724;1.239;5973;1.31;852.062
"Kepler-1953 b";"Kepler-1953";0;0;2021;0.0607;1.286;4858;0.71;605.631
"Kepler-1954 b";"Kepler-1954";0;0;2021;0.0625;1.802;5840;0.85;1373.83
"Kepler-1955 b";"Kepler-1955";0;0;2021;0.11959;1.167;5825;1.29;449.351
"Kepler-1956 b";"Kepler-1956";0;0;2021;0.0563;1.089;4391;0.68;360.468
"Kepler-1957 b";"Kepler-1957";0;0;2021;0.0299;0.944;4904;0.77;460.899
"Kepler-1958 b";"Kepler-1958";0;0;2021;0.0856;2.051;5749;0.86;1320.38
"Kepler-1959 b";"Kepler-1959";0;0;2021;0.0617;1.143;5071;0.81;479.263
"Kepler-196 b";"Kepler-196";0;0;2014;0.138;1.9;5128;0.78;451.312
"Kepler-196 c";"Kepler-196";0;0;2014;0.24;2.24;5128;0.78;451.312
"Kepler-196 d";"Kepler-196";0;0;2021;0.4545;2.661;5132;0.77;451.312
"Kepler-1960 b";"Kepler-1960";0;0;2021;0.0354;1.307;6371;1.07;1527.56
"Kepler-1961 b";"Kepler-1961";0;0;2021;0.0588;1.619;5401;0.78;1042.45
"Kepler-1962 b";"Kepler-1962";0;0;2021;0.0783;1.215;5700;1.01;866.826
"Kepler-1963 b";"Kepler-1963";0;0;2021;0.02915;0.744;5726;0.98;492.847
"Kepler-1965 b";"Kepler-1965";0;0;2021;0.22971;1.354;5852;0.84;521.791
"Kepler-1966 b";"Kepler-1966";0;0;2021;0.0763;1.105;5009;0.84;484.601
"Kepler-1967 b";"Kepler-1967";0;0;2021;0.06686;0.73;4970;1.81;249.102
"Kepler-1968 b";"Kepler-1968";0;0;2021;0.0696;1.5;5008;0.79;750.93
"Kepler-1969 b";"Kepler-1969";0;0;2021;0.0717;1.682;6046;1.01;1204.54
"Kepler-197 b";"Kepler-197";0;0;2014;0.06;1.02;6004;1.12;330.575
"Kepler-197 c";"Kepler-197";0;0;2014;0.09;1.23;6004;1.12;330.575
"Kepler-197 d";"Kepler-197";0;0;2014;0.119;1.22;6004;1.12;330.575
"Kepler-197 e";"Kepler-197";0;0;2014;0.164;0.91;6004;1.12;330.575
"Kepler-1972 b";"Kepler-1972";0;0;2014;0.08006;0.802;5818;1.38;287.339
"Kepler-1972 c";"Kepler-1972";0;0;2014;0.10493;0.868;5818;1.38;287.339
"Kepler-1976 b";"Kepler-1976";0;0;2023;0.0565;12.21;5712;1.08;1314.51
"Kepler-1977 b";"Kepler-1977";0;0;2023;0.0486;1.66;4805;0.69;592.711
"Kepler-1978 b";"Kepler-1978";0;0;2023;0.0914;2.67;5251;0.78;865.512
"Kepler-1979 b";"Kepler-1979";0;0;2023;0.1383;29.33;5942;0.94;1076.27
"Kepler-198 b";"Kepler-198";0;0;2014;0.131;2.82;5574;0.94;495.358
"Kepler-198 c";"Kepler-198";0;0;2014;0.259;2.47;5574;0.94;495.358
"Kepler-198 d";"Kepler-198";0;0;2016;0.02342;1.53;5636;0.93;495.358
"Kepler-1980 b";"Kepler-1980";0;0;2023;0.2049;2.21;5819;0.99;1709.4
"Kepler-1981 b";"Kepler-1981";0;0;2023;1.3292;9.23;5874;3.01;659.395
"Kepler-1982 b";"Kepler-1982";0;0;2023;0.0511;0.77;6202;1.12;558.855
"Kepler-1983 b";"Kepler-1983";0;0;2023;0.0689;2.33;5135;0.87;424.428
"Kepler-1986 b";"Kepler-1986";0;0;2023;0.1307;1.89;5549;0.73;912.085
"Kepler-1987 b";"Kepler-1987";0;0;2023;0.0318;1.23;4769;0.71;595.683
"Kepler-1987 c";"Kepler-1987";0;0;2023;0.0427;1.33;4769;0.71;595.683
"Kepler-1987 d";"Kepler-1987";0;0;2023;0.0571;2.66;4769;0.71;595.683
"Kepler-1987 e";"Kepler-1987";0;0;2023;0.0765;1.92;4769;0.71;595.683
"Kepler-1988 b";"Kepler-1988";0;0;2023;0.1038;1.53;6033;1.79;513.426
"Kepler-1989 b";"Kepler-1989";0;0;2023;0.0918;4.62;6032;1.06;1252.13
"Kepler-199 b";"Kepler-199";0;0;2014;0.158;3.11;5644;0.97;521.054
"Kepler-199 c";"Kepler-199";0;0;2014;0.316;3.25;5644;0.97;521.054
"Kepler-1990 b";"Kepler-1990";0;0;2023;0.0286;3.27;5751;1.07;392.739
"Kepler-1990 c";"Kepler-1990";0;0;2023;0.0504;0.98;5751;1.07;392.739
"Kepler-1991 b";"Kepler-1991";0;0;2023;0.1065;1.47;5478;1.05;855.82
"Kepler-1991 c";"Kepler-1991";0;0;2023;0.1528;2.57;5478;1.05;855.82
"Kepler-1992 b";"Kepler-1992";0;0;2023;0.1169;0.91;5383;0.84;532.955
"Kepler-1993 b";"Kepler-1993";0;0;2023;0.1943;4.15;5159;3.06;1031.91
